date,open,high,low,close,adj_close,volume,ticker
2003-12-01,106.8499984741211,107.68000030517578,106.80000305175781,107.5999984741211,71.08842468261719,38699000,SPY
2003-12-02,107.37999725341797,107.7699966430664,107.06999969482422,107.33000183105469,70.91004180908203,35352000,SPY
2003-12-03,107.6500015258789,108.08000183105469,107.06999969482422,107.16000366210938,70.79772186279297,39078600,SPY
2003-12-04,107.16999816894531,107.72000122070312,106.94000244140625,107.5999984741211,71.08842468261719,36089500,SPY
2003-12-05,107.12000274658203,107.80000305175781,106.62000274658203,106.8499984741211,70.59292602539062,28824400,SPY
2003-12-08,106.73999786376953,107.63999938964844,106.68000030517578,107.56999969482422,71.06861877441406,32482900,SPY
2003-12-09,107.9000015258789,107.93000030517578,106.54000091552734,106.73999786376953,70.52025604248047,43596100,SPY
2003-12-10,106.7699966430664,106.9800033569336,105.95999908447266,106.7300033569336,70.51363372802734,36915400,SPY
2003-12-11,106.68000030517578,108.0999984741211,106.66999816894531,107.93000030517578,71.30642700195312,45304000,SPY
2003-12-12,107.97000122070312,108.19999694824219,107.38999938964844,108.13999938964844,71.44517517089844,34142200,SPY
2003-12-15,109.16999816894531,109.2300033569336,107.4800033569336,107.5999984741211,71.08842468261719,38693400,SPY
2003-12-16,107.68000030517578,108.5,107.5199966430664,108.16000366210938,71.45841217041016,32894200,SPY
2003-12-17,108.05999755859375,108.5,107.80000305175781,108.5,71.68302154541016,23198800,SPY
2003-12-18,108.55000305175781,109.7300033569336,108.38999938964844,109.72000122070312,72.48902893066406,29353100,SPY
2003-12-19,109.30000305175781,109.37000274658203,108.58000183105469,108.9000015258789,72.2872543334961,41465100,SPY
2003-12-22,108.79000091552734,109.66000366210938,108.77999877929688,109.66000366210938,72.79175567626953,27611300,SPY
2003-12-23,109.4800033569336,109.94999694824219,109.37999725341797,109.7300033569336,72.83818054199219,24741200,SPY
2003-12-24,109.5199966430664,109.87999725341797,109.43000030517578,109.62000274658203,72.76520538330078,8055800,SPY
2003-12-26,109.70999908447266,110.08000183105469,109.62999725341797,109.69999694824219,72.81831359863281,8308400,SPY
2003-12-29,110.0999984741211,111.2699966430664,109.77999877929688,111.16000366210938,73.78744506835938,22483700,SPY
2003-12-30,111.08999633789062,111.2699966430664,110.8499984741211,111.18000030517578,73.80070495605469,19559500,SPY
2003-12-31,111.22000122070312,111.5199966430664,110.83999633789062,111.27999877929688,73.86711120605469,31501800,SPY
2004-01-02,111.73999786376953,112.19000244140625,110.7300033569336,111.2300033569336,73.83390045166016,38072300,SPY
2004-01-05,111.69000244140625,112.5199966430664,111.58999633789062,112.44000244140625,74.63703918457031,27959800,SPY
2004-01-06,112.16000366210938,112.7300033569336,112.0,112.55000305175781,74.71007537841797,20472800,SPY
