strategy,return,volatility,sharpe
Markowitz,0.21902103219218141,0.10094312551757141,1.6744184542092417
Black-Litterman,0.1607887065971499,0.1651635892404554,0.6707816602111789
Equal Weight,0.12407047534753905,0.08697519282383992,0.8516276071679638
Market Cap,0.1644905770079168,0.11196779624226155,1.022531306771429
