confidence,focus_weight,out_sample_sharpe,out_sample_return
0.05,0.23283793474508416,0.8807237665956721,0.1939036625913244
0.1,0.23313677470567398,0.8782664589384558,0.19356187448027184
0.15,0.23343843882854134,0.8757877697446483,0.19321697216006406
0.2,0.23374297722864926,0.8732873246981527,0.19286889771798066
0.25,0.2340504184822929,0.8707649159675855,0.19251761503811582
0.3,0.2343607717694723,0.8682204015921484,0.1921630943942294
0.35,0.23467405681879971,0.8656537397976755,0.1918053305977776
0.39999999999999997,0.23499031426867098,0.8630646989620109,0.19144428184673457
0.44999999999999996,0.23530961458186683,0.8604527671267286,0.19107987299966323
0.49999999999999994,0.2356320107387499,0.8578175959388198,0.19071205141699865
0.5499999999999999,0.23595753375803563,0.8551589721844587,0.19034077816534545
0.6,0.23628626455101845,0.8524762725236491,0.1899659569926564
0.65,0.23661824272226192,0.849769241411962,0.18958754686414414
0.7,0.23695349420710604,0.8470377600220839,0.18920552402367585
0.75,0.23729207612342865,0.8442814460294348,0.18881983012210646
0.7999999999999999,0.2376340892468576,0.8414989960196418,0.18843024704881683
0.85,0.23797955125995807,0.8386905584422366,0.1880368009318769
0.9,0.23832837605006235,0.8358572659747325,0.18763968896438588
0.95,0.2386809831955722,0.8329979778207894,0.187238375573056
