strategy,annual_return,annual_volatility,sharpe,max_drawdown,final_value
Black-Litterman,0.18920552402367585,0.1643439414318985,0.8470377600220839,-0.16965900541966605,130.66834816676268
Markowitz,0.3026851048126413,0.10057445763903035,2.512418269453146,-0.054822700580420936,150.40836975338198
Equal Weight,0.17317499468094266,0.08376677838870289,1.4704516163839305,-0.06336003414512692,127.95932421628049
Market Cap,0.20346985741907164,0.11130230579124505,1.3788560473034106,-0.10201725611779011,133.09565777744743
